oṃnamaḥśukrabṛhaspatibhyāṃ	Óm Salutation to Sukra and Brihaspati
lābhe pālane ca yāvanty arthaśāstrāṇi pūrvaācāryaiḥ prasthāpitāni prāyaśas tāni saṃhṛtyaekam idam arthaśāstraṃ kṛtam	This Arthasástra is made as a compendium of almost all the Arthasástras, which, in view of acquisition and maintenance of the earth, have been composed by ancient teachers
vidyāsamuddeśaḥ,	Concerning Discipline The end of Sciences;
vṛddhasamuddeśaḥ, indriyajayaḥ,	association with the aged; restraint of the organs of sense;
mantripurohitautpattiḥ,	the creation of ministers;
upadhābhiḥ śaucaaśaucajñānam amātyānām, gūḍhapuruṣapraṇidhiḥ,	the creation of councillors and priests; ascertaining by temptations purity or impurity in the character of ministers; the institution of spies
svaviṣaye kṛtyaakṛtyapakṣarakṣaṇam,	Protection of parties for or against ones own cause in ones own state;
paraviṣaye kṛtyaakṛtyapakṣaupagrahaḥ,	winning over the factions for or against an enemys cause in an enemys state;
mantraadhikāraḥ,	the business of council meeting;
dūtapraṇidhiḥ,	the mission of envoys;
rājaputrarakṣaṇam, aparuddhavṛttam,	protection of princes; the conduct of a prince kept under restraint;
rājapraṇidhiḥ, niśāntapraṇidhiḥ,	treatment of a prince kept under restraint; the duties of a king;
ātmarakṣitakam, ,	duty towards the harem; personal safety
iti vinayaadhikārikaṃ prathamam adhikaraṇam //	The Duties of Government Superintendents Kautilyas Arthashastra Formation of villages;
janapadaniveśaḥ, bhūmicchidraapidhānam,	division of land; construction of forts; buildings within the fort;
samnidhātṛnicayakarma, samāhartṛsamudayaprasthāpanam, akṣapaṭale gāṇanikyaadhikāraḥ,	the duty of the chamberlain; the business of collection of revenue by the collectorgeneral; the business of keeping up accounts in the office of accountants;
samudayasya yuktaapahṛtasya pratyānayanam, upayuktaparīkṣā,	detection of what is embezzled by government servants out of staterevenue; examination of the conduct of Government servants; the procedure of forming royal writs;
śāsanaadhikāraḥ,	the superintendent of the treasury;
kośapraveśyaratnaparīkṣā,	examination of gems that are to be entered into the treasury;
ākarakarmaantapravartanam,	conducting mining operations and manufacture;
viśikhāyāṃ sauvarṇikapracāraḥ, koṣṭhaāgāraadhyakṣaḥ,	the superintendent of gold; the duties of the state goldsmith in the high road; the superintendent of storehouse;
paṇyaadhyakṣaḥ, kupyaadhyakṣaḥ,	the superintendent of commerce; the superintendent of forest produce;
āyudhaadhyakṣaḥ,	the superintendent of the armoury;
tulāmānapautavam, deśakālamānam,	the superintendent of weights and measures; measurement of space and time;
śulkaadhyakṣaḥ, sūtraadhyakṣaḥ,	the superintendent of tolls; the superintendent of weaving;
sītaadhyakṣaḥ, surāadhyakṣaḥ,	the superintendent of agriculture; the superintendent of liquor;
sūnaadhyakṣaḥ, gaṇikāadhyakṣaḥ,	the superintendent of slaughterhouse; the superintendent of prostitutes;
goadhyakṣaḥ, aśvaadhyakṣaḥ,	the superintendent of cows; the superintendent of horses; the superintendent of elephants;
hastyadhyakṣaḥ, rathaadhyakṣaḥ,	the superintendent of chariots; the superintendent of infantry;
pattyadhyakṣaḥ, senāpatipracāraḥ, mudrāadhyakṣaḥ,	the duty of the commanderinchief , the superintendent of passports; the superintendent of pasture lands;
samāhartṛpracāraḥ,	the duty of revenue collectors;
gṛhapatikavaidehakatāpasavyañjanāḥ praṇidhayaḥ,	spies in the guise of householders, merchants, and ascetics; the duty of a city superintendent
vyavahārasthāpanā, vivādapadanibandhaḥ,	Determination of forms of agreements; determination of legal disputes;
vivāhasamyuktam,	concerning marriage;
dāyavibhāgaḥ,	division of inheritance;
vāstukam,	buildings;
samayasya anapākarma,	nonperformance of agreements;
ṛṇaadānam, aupanidhikam, dāsakarmakarakalpaḥ,	recovery of debts; concerning deposits; rules regarding slaves and labourers;
sambhūya samutthānam,	cooperative undertakings;
vikrītakrītaanuśayaḥ, dattasya anapākarma, asvāmivikrayaḥ,	rescision of purchase and sale; resumption of gifts, Kautilyas Arthashastra and sale without ownership;
sāhasam,	ownership;
vākpāruṣyam,	defamation; assault;
daṇḍapāruṣyam, dyūtasamāhvayam,	gambling and betting, and miscellaneous Removal of Thorns
kārukarakṣaṇam, vaidehakarakṣaṇam,	Protection of artisans; protection of merchants; remedies against national calamities;
upanipātapratīkāraḥ, gūḍhaājīvināṃ rakṣā, siddhavyañjanair māṇavaprakāśanam,	suppression of the wicked living by foul means; detection of youths of criminal tendency by ascetic spies; seizure of criminals on suspicion or in the very act;
āśumṛtakaparīkṣā,	examination of sudden death;
vākyakarmaanuyogaḥ,	trial and torture to elicit confession;
sarvaadhikaraṇarakṣaṇaṃ	protection of all kinds of government departments;
ekaaṅgavadhaniṣkrayaḥ,	fines in lieu of mutilation of limbs;
kanyāprakarma,	sexual intercourse with immature girls;
aticāradaṇḍāḥ iti kaṇṭakaśodhanaṃ caturtham adhikaraṇam //	atonement for violating justice Conduct of Courtiers
dāṇḍakarmikam,	Concerning the awards of punishments;
bhṛtyabharaṇīyam, anujīvivṛttam, samayaācārikam,	replenishment of the treasury; concerning subsistence to government servants; the conduct of a courtier;
rājyapratisaṃdhānam,	consolidation of the kingdom and absolute sovereignty
prakṛtisampadaḥ,	The elements of sovereignty;
ṣāḍguṇyasamuddeśaḥ,	The End of Sixfold Policy The sixfold policy;
kṣayasthānavṛddhiniścayaḥ,	determination of deterioration, stagnation, and progress;
saṃśrayavṛttiḥ,	the nature of alliance;
samahīnajyāyasāṃ guṇaabhiniveśaḥ, hīnasaṃdhayaḥ,	the character of equal, inferior and superior kings; forms of agreement made by an inferior king;
vigṛhya āsanam, saṃdhāya āsanam,	marching after proclaiming war or after making peace;
saṃdhāya yānam,	the march of combined powers;
yātavyaamitrayor abhigrahacintā, kṣayalobhavirāgahetavaḥ prakṛtīnām,	considerations about marching against an assailable enemy and a strong enemy; causes leading to the dwindling, greed and disloyalty of the army;
sāmavāyikaviparimarśaḥ,	considerations about the combination of powers;
saṃhita prayāṇikam,	the march of combined powers;
paripaṇitaaparipaṇitaapasṛtāḥ saṃdhayaḥ,	agreement of peace with or without definite terms; and peace with renegades;
dvaidhībhāvikāḥ saṃdhivikramāḥ,	peace and war by adopting the double policy;
yātavyavṛttiḥ,	the attitude of an assailable enemy;
anugrāhyamitraviśeṣāḥ, mitrahiraṇyabhūmikarmasaṃdhayaḥ,	friends that deserve help; agreement for the acquisition of a friend or gold; agreement of peace for the acquisition of land;
hīnaśaktipūraṇam,	agreement for undertaking a work;
