māhāyāne traidhātukaṃ vijñaptimātraṃ vyavasthāpyate /	In the Great Vehicle, the three realms of existence¹ are determined as being perception-only.
cittamātraṃ bho jinaputrā yad uta traidhātukam iti sūtrāt /	As it is said in the sutra, "The three realms of existence are citta-only."
cittaṃ mano vijñānaṃ vijñaptiś ceti paryāyāḥ /	Citta, manas, consciousness, and perception are synonyms.
cittam atra sasaṃprayogam abhipretaṃ /	By the word "citta", citta along with its associations is intended here.
matram ity arthapratiṣedhārthaṃ /	“Only” is said to rule out any (external) object of sense or understanding.
vijñaptimātram evedam asadarthāvabhāsanāt / yadvat taimirikasyāsat keśoṇḍukādidarśanaṃ //	All this is perception-only, because of the appearance of non-existent objects, just as there may be the seeing of non-existent nets of hair by someone afflicted with an optical disorder.
atra codyate / kaścid artho nāsti / na deśakālaniyamaḥ saṃtānāniyamo na ca / na ca kṛtyakriyā yuktā vijñaptir yadi nārthataḥ //	Here it is objected : "If perception occurs without an object, any restriction as to place and time becomes illogical, as does non-restriction as to moment-series² and any activity which has been performed.”
kim uktaṃ bhavati /	What is being said?
yadi vinā rūpādyarthena rūpādivijñaptir utpadyate na rūpādyarthāt / kasmāt kvacid deśa utpadyate na sarvatra / tatraiva ca deśe kadācid utpadyate na sarvadā /	If the perception of visibles, etc. arises without any object of visibles, etc. why is it that it arises only in certain places, and not everywhere, and even in those places, why is it that it arises only sometimes, and not all the time ?
taddeśakālapratiṣṭhitānāṃ sarveṣāṃ saṃtānāniyama utpadyate na kevalam ekasya / yathā taimirikāṇāṃ saṃtāne keśādyābhāso nānyeṣāṃ /	And why is it that it arises in the moment-series of all that are situated in that time and place, and not just in the momentseries of one, just as the appearance of hair, etc. arises in the moment-series of those afflicted by an optical disorder, and not in the moment-series of others?
kasmād yat taimirikaiḥ keśabhramarādi dṛśyate tena keśādikriyā na kriyate na ca tad anyair na kriyate /	Why is it that the hair, bees, etc. seen by those afflicted by an optical disorder don't perform the functions of hair, etc. while it is not the case that other hair, etc. don't perform them?
yad annapānavastraviṣāyudhādi svapne dṛśyate tenānnādikriyā na kriyate na ca tad anyair na kriyate /	Food, drink, clothes, poison, weapons, etc. that are seen in a dream don't perform the functions of food, etc. while it is not the case that other food, etc. don't perform them.
gandharvanagareṇāsattvān nagarakriyā na kriyate na ca tad anyair na kriyate /	An illusory town does not perform the functions of a town, because of its non-existence, while it is not the case that other towns don't perform them.
tasmād asadabhāvāvabhāsane deśakālaniyamaḥ saṃtānāniyamaḥ kṛtyakriyā ca na yujyate /	Therefore, with the non-being of an object, any restriction as to place and time, any non-restriction as to moment-series, and any activity which has been performed, would be illogical.
