oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
atha prathamo 'dhyāyaḥ	of this now follows the expounding
oṃ śāntiḥ śāntiḥ śāntiḥ	One should meditate upon the syllable ‘Om’
kevalaṃ ca dhūmādimārgeṇa candralokapratipattikāraṇam /	The syllable ‘Om’ is the most nearly appropriate name for the Supreme Self;
ata eva hi vakṣyatisarva ete puṇyalokā bhavanti / brahmasastho 'mṛtatvametiiti /	when that syllable is pronounced, the Supreme Self becomes pleased, just as an ordinary person is pleased when addressed by the name he likes best
om ity etad akṣaram udgītham upāsīta / om iti hy udgāyati / tasyopavyākhyānam // ityupodghātabhāṣyam omityetadakṣaramudgīthamupāsīta / omityetadakṣaraṃ paramātmano 'bhidhānaṃ nediṣṭham /	This syllable ‘Om’ is followed in the text by the particle ‘iti’ in order to show that the syllable is not expressive of does not connote the Supreme Self, and what is meant is that this verbal form is what is to be meditated upon as Self thus what is meant is that the syllable ‘Om is a representation of the Supreme SELF, just like the image and other things that people set up for worship
evaṃ nāmatvena pratīkatvena ca paramātmopāsanasādhanaṃ śreṣṭhamiti sarvavedānteṣvagatam /	Thus what is learnt from all the Vedānta texts is that the syllable, being the name and the image of the Supreme SELF, is the best basis for meditating upon that SELF
japakarmasvādhyāyādyanteṣu ca bahuśaḥ prayogātprasiddhamasya śraiṣṭhyam /	It is a wellknown fact that this syllable is largely used in Japa, at rites and in the beginning and at the end of Vedic study;
atastadetakṣaraṃ varṇātmakamudgīthabhaktyavayavatvādudgīthaśabdavācyamupāsīta /	It is for these reasons that one should meditate upon this syllable, in the verbal form, which is spoken of as ‘Udgītha’, on the ground of its forming a constituent part of this name ‘Udgītha’;
karmāṅgāvayavabhūta oṅkāre paramātmapratīke dṛḍhāmaikāgryalakṣaṇāṃ matiṃ santanuyāt /	which means that one should firmly cultivate concentrated attention upon the syllable ‘Om’ which represents the Supreme SELF and which is an essential part of all sacrificial acts
svayameva śrutiroṅkārasyodgīthaśabdavācyatve hetumāhaomiti hyudgāyati / omityārabhya hi yasmādudgāyatyata udgītha oṅkāra ityarthaḥ /	The Text itself provides the reason for the syllable ‘Om’ being spoken of as ‘Udgītha’ because one sings beginning with ‘Om’; inasmuch as one begins singing with ‘Om’, this syllable is called ‘Udgītha’
tasyopavyākhyānaṃ tasyākṣarasyopavyākhyānamevamupāsanamevaṃvibhūtyevaṃphalamityādikathanamupavyākhyānam /	The ‘expounding’ of the said syllable constitutes ‘meditation’ upon it; this ‘expounding’ consists in describing its potencies, the results it brings about and so forth
pravartata iti vākyaśeṣaḥ //	The term ‘follows’ ‘pravartate’ has to be supplied
eṣāṃ bhūtānāṃ pṛthivī rasaḥ /	The Earth is the essence of all beings;
pṛthivyā āpo rasaḥ / apām oṣadhayo rasaḥ /	Water is the essence of the Earth; Herbs are the essence of Water;
oṣadhīnāṃ puruṣo rasaḥ / puruṣasya vāg rasaḥ /	Man is the essence of Herbs; Speech is the essence of Man;
vāca ṛg rasaḥ / ṛcaḥ sāma rasaḥ /	Ṛk is the essence of Speech; Sāman is the essence of Ṛk;
sāmna udgītho rasaḥ //	Udgītha is the essence of Sāman
eṣāṃ carācarāṇāṃ bhūtānāṃ pṛthivī raso gatiḥ parāyaṇamavaṣṭambhaḥ /	Of all beings,animate and inanimate;Earth is the essence,ie origin, substratum and ultimate solvent
pṛthivyā āpo raso 'psu hyotā ca protā ca pṛthivyatastā rasaḥ pṛthivyāḥ /	Of Earth, Water is the essence; it is in Water that Earth is interwoven like warp and woof; hence Water is the essence of Earth
apāmoṣadhayo raso 'ppariṇāmatvādoṣadhīnām /	Of Water, Herbs are the essence; as Herbs are modifications of Water
tāsāṃ puruṣo raso 'nnapariṇāmatvāt puruṣasya / tasyāpi puruṣasya vāgrasaḥ /	Of these Herbs Man is the essence; as Man is developed through the food he eats Of Man, Speech is the essence;
puruṣāvayavānāṃ hi vāksāriṣṭhā / ato vākpuruṣasya rasa ucyate /	Speech is the most essential, therefore, Speech is called the ‘essence’ of Man Of Speech, Ṛk is the essence
tasyā api vāca ṛgrasaḥ sāratarā / ṛcaḥ sāma rasaḥ sārataram /	Of Ṛk, Sāman is the essence ie the most essential part Of Sāman, the essence is Udgītha,ie
tasyāpi sāmna udgīthaḥ prakṛtatvādoṅkāraḥ sārataraḥ //	in the present context, the syllable ‘OM’ is the most essential
sa eṣa rasānāṃ rasatamaḥ paramaḥ parārdhyo 'ṣṭamo yadudgīthaḥ //	This Udgītha is the best essence of the essences, the eighth, supreme and deserving of the highest position
evaṃ sa eṣa udgīthākhya oṅkāro bhūtādīnāmuttarottararasānāmatiśayena raso rasatamaḥ /	Thus then, the syllable ‘Om’, named the Udgītha, is the best essence among all the essences, Earth and the rest, which have been mentioned in the preceding text in the Ascending order of their ‘essentiality’
paramaḥ paramātmapratīkatvāt /	It is the ‘supreme’, because it represents the Supreme SELF
parārdhyor'dhaṃ sthānaṃ,	It is ‘deserving of the highest position’, ‘ardha’ is position;
paraṃ ca tadardhaṃ ca parārdhaṃ tadarhatīti parārdhyaḥ paramātmasthānārhaḥ paramātmavadupāsyatvādityabhiprāyaḥ /	‘para’ is highest; hence ‘parardha’ is that which is deserving of the highest position; that is, deserving of the same position as the Supreme SELF; the sense is that it is so because it deserves to be meditated upon and worshipped as the Supreme SELF
aṣṭamaḥ pṛthivyādirasasaṃkhyāyāṃ yadudgītho ya udgīthaḥ //	It is the eighth,in the numbering of Earth and the other essences ‘Yad udgīthaḥ’ should be construed as ‘Yaḥ udgīthaḥ’
katamā katama rk katamat katamat sāma katamaḥ katama udgītha iti vimṛṣṭaṃ bhavati //	What, what is Ṛk? What, what is Sāman ? What, what is Udgītha ?this is now considered
vāca ṛgrasa ityuktam /	It has been asserted that ‘Ṛk is the essence of Speech’
katamā sarkkatamattatsāma katamo vā sa udgīthaḥ / katamā katameti vīpsā'darārthā /	Now the question arisesWhat is ‘Ṛk’? What is ‘Sāman’? What is the said ‘Udgītha’?
nanuvā bahūnāṃ jātiparipraśne ḍatamac /	The repetition of the word what is meant to indicate the importance attached to the subject
na hyatra ṛgjātibahutvaṃ kathaṃ ḍatamacprayogaḥ /	and in the present instance, there is not a multiplicity of the genus ‘Ṛk’ ; how is it then that the affix ‘ḍatamach’ has been used?
naiṣa doṣaḥ /	This objection has no force
jātau paripraśno jātiparipraśna ityetasminvigrahe jātāvṛgvyaktīnāṃ bahutvopapatteḥ / na tu jāteḥ paripraśna iti vigṛhyate /	In the grammatical rule referred to there is the term ‘jātiparipraśna’ which is expounded as ‘Jātau paripraśnaḥ’, ‘question relating to the genus’, and there is multiplicity of individuals included under the single genus ‘Ṛk’, and the compound is not to be expounded as ‘question of genus, ‘Jāteḥ paripraśnaḥ’
nanu jāteḥ paripraśna ityasminvigrahe katamaḥ kaṭha ityādyudāharaṇamupapannaṃ jātau paripraśna ityatra tu na yujyate /	The Opponent rejoinsIt is only when the compound ‘jātiparipraśna’ is expounded as ‘jāteḥ paripraśnaḥ’, the question of genus, that the presence of the ‘ḍatamachaaffix’ in the phrase ‘Katamaḥ kathaḥ’, ‘which one is of the Kathaclan, can be justified [as here, the question is of the genus; it could not be justified if the compound were expounded as ‘jātau paripraśnaḥ’ ‘question relating to the genus’
tatrāpi kaṭhādijātāveva vyaktibahitvābhiprāyeṇa paripraśna ityadoṣaḥ /	AnswerIn the instance cited also, the question is in reference to several individuals included under the clan ‘Kaṭha’;
yadi jāteḥ paripraśnaḥ syātkatamā katamargityādāvupasaṃkhyānaṃ kartavyaṃ syādvimṛṣṭaṃ bhavati vimarśaḥ kṛto bhavati //	so that the objection has no force If the question raised were one of the genus, then, in that case, it would be necessary to find out some other rule justifying the term in the present text, which, being Vedic, cannot be rejected as wrong
vāg evark /	Speech itself is Ṛk;
prāṇaḥ sāma /	Lifebreath is Sāman;
om ity etad akṣaram udgīthaḥ /	the syllable Om is Udgītha
tad vā etan mithunaṃ yad vāk ca prāṇaś cark ca sāma ca //	This indeed is a couple Speech and Lifebreath Ṛk and Sāman
vimarśe hi kṛte sati prativacanoktirupapannā vāgevarkprāṇaḥ sāmeti /	After the consideration has been done, the appropriate answer is stated Speech is Ṛk, Lifebreath is Sāman
vāgṛcorekatve 'pi nāṣṭamatvavyāghātaḥ pūrvasmādvākyāntaratvādāptiguṇasiddhaya omityetadakṣaramudgītha iti /	Even though Speech and Ṛk are declared here to be one, this can not be regarded as selfcontradictory, in view of the eighth position assigned to the Udgītha in the text , above;
vākprāṇāvṛksāmayonī iti vāgevarkprāṇaḥ sāmetyucyate / yathākramamṛksāmayonyorvākprāṇayorgrahaṇe hi sarvāsāmṛcāṃ sarveṣāṃ ca sāmnāmavarodhaḥ kṛtaḥ syāt /	In fact, Speech and Lifebreath are the sources of Ṛk and Sāman, respectively; and yet Speech itself is declared to be Ṛk and Lifebreath itself to be Saman, If the text had mentioned ‘Speech and ‘LifeBreath’ as the sources of Ṛk and Sāman respectively, then, all Ṛks and all Samans would become included;
sarvarksāmāvarodhe carksāmasādhyānāṃ ca sarvakarmaṇāmavarodhaḥ kṛtaḥ syāt /	and the inclusion of all Ṛks and all Sāmans implies the inclusion of all those acts rites that are accomplished with the help of Ṛks and Sāmans;
tadavarodhe ca sarve kāmā avaruddhāḥ syuḥ /	so that practically all acts become included
omityetadakṣaramudgītha iti bhaktyāśaṅkā vinartyate / tadvā etaditi mithunaṃ nirdiśyate /	There may be an idea that the expression ‘The syllable Om is ‘Udgītha’ is only figurative; this idea is set aside by what follows in the text
kiṃ tanmithunamityāha yadvākca prāṇaśca sarvaṛksāmakāraṇabhūtau mithunam /	Question ‘What is that Couple?’Answer ‘Speech and Lifebreath’ are the ‘couple, the sources of all Ṛks and all Sāmans
ṛkva sāma ceti ṛksāmakāraṇāvṛksāmaśabdoktāvityarthaḥ /	The words ‘Ṛks’ and ‘Sāmans’ that follow are meant to point out that the Speech and Lifebreath spoken of are the sources of Ṛk and Sāman;
na tu svatantramṛkca sāma ca mithunam /	and ‘Ṛk and Sāman’ are not meant to be a separate independent couple
anyathā hi vākca prāṇaścetyekaṃ mithunamṛksāma cāparaṃ mithunamiti dve mithune syātām /	If this were not so, then, ‘Speech and Lifebreath would be one ‘couple, and ‘Ṛk and Sāman would be another couple’; so there would be two ‘couples’;
tathā ca tadetanmithunamityekavacananirdeṣo 'nupapannaḥ syāt /	and in that case, the singular number in the phrase ‘This indeed is a couple’ would be incompatible ]
tasmādṛksāmayonyorvākprāṇayoreva mithunatvam // tad etan mithunam om ity etasminn akṣare saṃsṛjyate /	Hence what are meant to be spoken of as ‘couple here are only ‘Speech and Lifebreath’, as the sources of Ṛk and Sāman respectively This couple is joined together in the syllable Om
yadā vai mithunau samāgacchata āpayato vai tāv anyo 'nyasya kāmam //	Whenever, verily, a couple is joined together, each fulfils the desire of the other
tadetadevaṃlakṣaṇaṃ mithunamomityetasminnakṣare saṃsṛjyate /	‘This couple’, just described, ‘is joined together in the syllable Om’
evaṃ sarvakāmāvāptiguṇaviśiṣṭaṃ mithunamoṅkāre saṃsṛṣṭaṃ vidyata ityoṅkārasya sarvakāmāvāptiguṇavattvaṃ prasiddham /	Thus the sense is that the Couple, endowed with the quality of fulfilling all desires, remains ‘joined together in the syllable ‘Om’; and the fact of the syllable ‘Om being endowed with the quality fulfilling all desires is wellknown
vāṅmayatvamoṅkārasya prāṇaniṣpādyatvaṃ ca mithunena saṃsṛṣṭatvaṃ mithunasya kāmāpayitṛtvaṃ prasiddhamiti dṛṣṭānta ucyate / yathā loke mithunau mithunāvayavau strīpuṃsau yadā samāgacchato grāmyadharmatayā saṃyujyeyānāṃ tadā'payataḥ prāpayato 'nyonyasyetaretarasya tau kāmam /	It is wellknown that a the syllable ‘Om’ contains within itself the entire literature, b that it is brought about pronounced through the Lifebreath, c that it joins within itself the ‘couple’, and d that the ‘couple’ fulfil all desires In order to make this clear, an illustration is citedIn ordinary life, ‘whenever a couple’ie man and woman, with the physical constituents of the couple,is joined together,ie, meet together, in sexual association,they fulfil each other’s desires
tathā ca svātmānupraviṣṭena mithunena sarvakāmāptiguṇavattvamoṅkārasya siddhamityabhiprāyaḥ //	What is meant is that it becomes established in the same manner, the syllable ‘Om becomes the fulfiller of all desires, through the ‘Couple that lies within it
āpayitā ha vai kāmānāṃ bhavati ya etad evaṃ vidvān akṣaram udgītham upāste //	He becomes the fulfiller of desires who, knowing this thus, meditates upon this syllable as Udgītha
tadupāsako 'pyudgātā taddharmā bhavatītyāhaāpayitā ha vai kāmānāṃ yajamānasya bhavati ya etadakṣaramevamāptiguṇavadudgīthamupāste	One becomes a fulfiller of the desires of the sacrificer if he meditates upon this syllable itselfwhich has the character of fulfilmentas Udgītha;
tasyaitadyathoktaṃ phalamityarthaḥ /	to such a one accrues the said result;
taṃ yathā yathopāsate tadeva bhavatiiti śruteḥ //	and this is in accordance with the Vedic text Just in so far as one meditates upon a thing, one becomes that thing itself
tad vā etad anujñākṣaram /	This indeed is the syllable of acquiescence;
yad dhi kiṃcānujānāty om ity eva tad āha /	whatever one acquiesces in, he says Om;
eṣo eva samṛddhir yad anujñā /	acquiescence verily is prosperity;
samardhayitā ha vai kāmānāṃ bhavati ya etad evaṃ vidvān akṣaram udgītham upāste //	he becomes à prosperer of desires who, knowing this, meditates upon this syllable Om as Udgītha
samṛddhiguṇavāṃścoṅkāraḥ /	The syllable ‘Om is also endowed with the quality of fulfilment success, prosperity
kathamtadvā etatprakṛmanujñākṣaramanujñā ca sākṣaraṃ ca tat /	How?This syllable that we are dealing with is the ‘syllable of acquiescence’; ie it is the acquiescent syllable;
anujñānumatiroṅkāra ityarthaḥ /	‘acquiescence standing for agreement;this is what the syllable ‘Om’ is
