input_text	target_text
ekasmin samaye bhagavān śrāvastyāṃ viharati sma,	at one time the Fortunate One was dwelling near Śrāvastī,
purvārāme mgāra-mātuḥ prāsāde,	at Mgāra’s mother’s mansion in the Eastern Grounds,
mahatā bhikṣu-saṅghena sārdham-ardha-trayodaśabhir-bhikṣu-śātaiḥ |	together with a great monastic community of one thousand, two-hundred and fifty monastics.
tatra ca bhagavān dhīra-gambhīra-madhurodāra-nirdoṣa-svareṇa,	There the Fortunate One, with a voice that was firm, deep, sweet, noble and without fault,
bhikṣun-āmantrayate sma:	addressed the monastics (saying):
“dharmaṃ vo bhikṣavo deśayiṣyāmi,	“I will teach the Dharma to you, monastics,
ādau kalyāṇaṃ madhye kalyāṇaṃ paryavasāne kalyāṇaṃ,	those Dharma teachings that are good in the beginning, good in the middle, good in the end,
svarthaṃ suvyañjanaṃ,	with their meaning, with their (proper) phrasing,
kevalaṃ paripurṇaṃ parisuddhaṃ paryavadātaṃ brahmacaryaṃ saṃprakāśayiṣye,	I will make known the spiritual life which is complete, fulfilled, accomplished,
yad-uta, arthaviniścayaṃ	that is to say, the Dharma instruction known as the Analysis of the Topics.
tac-chṇuta sādhu ca suṣṭhu ca manasikuruta, bhāṣiṣye.”	Listen well and carefully, apply your minds, and I will speak.”
“sādhu bhagavann”-iti te bhikṣavo bhagavataḥ pratyaśrauṣuḥ,	“Surely, Fortunate One,” those monastics replied to the Fortunate One,
bhagavāṃs-tān-idam-avocat:	and the Fortunate One said this:
“katamaś-cāsau bhikṣavo ’rthaviniścayo nāma dharmaparyāyaḥ?	“What, monastics, are the Dharma instructions known as the Analysis of the Topics?
yad-uta:	They are as follows:
(1) pañca skandhāḥ,	(1) The five components (of mind and matter),
(2) pañcopādāna-skandhāḥ,	(2) the five components (of mind and matter) that provide fuel for attachment,
(3) aṣṭā-daśa dhātavaḥ,	(3) the eighteen elements,
(4) dvā-daśāyatanāni,	(4) the twelve sense-spheres,
(5) dvā-daśāṅgaḥ pratītya-samutpādaḥ,	(5) the twelve factors of conditional origination,
(6) catvāry-ārya-satyāni,	(6) the four noble truths,
(7) dvā-viṃśatir-indriyāṇi,	(7) the twenty-two faculties,
(8) catvāri dhyānāni,	(8) the four absorptions,
(9) catasra ārūpya-samāpattayaḥ,	(9) the four formless attainments,
(10) catvāro brahma-vihārāḥ,	(10) the four spiritual states,
(11) catasraḥ pratipadaḥ,	(11) the four practices,
(12) catasraḥ samādhi-bhāvanāḥ,	(12) the four cultivations of concentration,
(13) catvāri smty-upasthānāni,	(13) the four ways of attending to mindfulness,
(14) catvāri samyak-prahāṇāni,	(14) the four right strivings,
(15) catvāra ddhi-pādāḥ,	(15) the four bases of spiritual power,
(16) pañcendriyāṇi,	(16) the five faculties,
(17) pañca balāni,	(17) the five strengths,
(18) sapta bodhyaṅgāni,	(18) the seven factors of awakening,
(19) āryāṣṭāṅgo mārgaḥ,	(19) the eightfold noble path,
(20) ṣoḍaśākārānāpāna-smtiḥ,	(20) the sixteen modes of mindfulness while breathing,
(21) catvāri srota-āpattyaṅgāni,	(21) the four factors of stream-entry,
(22) daśa tathāgata-balāni,	(22) the ten strengths of a Realised One,
(23) catvāri vaiśāradyāni,	(23) the four confidences,
(24) catasraḥ pratisaṃvidaḥ,	(24) the four analytical knowledges,
(25) aṣṭādaśāveṇikā buddhadharmāḥ,	(25) the eighteen special qualities of the Buddha,
(26) dvātriṃśan-mahā-puruṣa-lakṣaṇāni,	(26) the thirty-two marks of a great man,
(27) aśītir-anuvyañjanāni |	(27) the eighty secondary characteristics.
ayaṃ bhikṣavo ’rthaviniścayasya dharmaparyāyasyoddeśaḥ |	This, monastics, is indicated as the Dharma explanation known as the Analysis of the Topics.
tatra bhikṣavaḥ katame pañca skandhāḥ?	Herein, monastics, what are the five components?
(1) rūpa-skandhaḥ,	(1) The bodily-form component,
(2) vedanā-skandhaḥ,	(2) the feelings component,
(3) saṃjñā-skandhaḥ,	(3) the perceptions component,
(4) saṃskāra-skandhaḥ,	(4) the volitions component,
(5) vijñāna-skandhaś-ceti |	(5) and the consciousness component.
ime bhikṣavaḥ pañca skandhāḥ |	These, monastics, are the five components.
tatra bhikṣavaḥ katame pañcopādānaskandhāḥ?	Herein, monastics, what are the five components (of mind and body) that provide fuel for attachment?
(1) rūpopādānaskandhaḥ,	(1) The bodily-form component that provides fuel for attachment,
(2) vedanopādānaskandhaḥ,	(2) the feelings component that provides fuel for attachment,
(3) saṃjñopādānaskandhaḥ,	(3) the perceptions component that provides fuel for attachment,
(4) saṃskāropādānaskandhaḥ,	(4) the volitions component that provides fuel for attachment,
(5) vijñānopādānaskandhaḥ |	(5) the consciousness component that provides fuel for attachment.
ime bhikṣavaḥ pañcopādānaskandhāḥ |	These, monastics, are the five components that provide fuel for attachment.
tatra bhikṣavaḥ katame ’ṣṭadaśa dhātavaḥ?	Herein, monastics, what are the eighteen elements?
(1) cakṣur-dhātuḥ,	(1) The eye element,
(2) rūpa-dhātuḥ,	(2) the visible-form element,
(3) cakṣur-vijñāna-dhātuḥ,	(3) the eye-consciousness element,
(4) śrotra-dhātuḥ,	(4) the ear element,
(5) śabda-dhātuḥ,	(5) the sound element,
(6) śrotra-vijñāna-dhātuḥ,	(6) the ear-consciousness element,
(7) ghrāṇa-dhātuḥ,	(7) the nose element,
(8) gandha-dhātuḥ,	(8) the smell element,
(9) ghrāṇa-vijñāna-dhātuḥ,	(9) the nose-consciousness element,
(10) jihvā-dhātuḥ,	(10) the tongue element,
(11) rasa-dhātuḥ,	(11) the taste element,
(12) jihvā-vijñāna-dhātuḥ,	(12) the tongue-consciousness element,
(13) kāya-dhātuḥ,	(13) the body element,
(14) spraṣṭavya-dhātuḥ,	(14) the tangible element,
(15) kāya-vijñāna-dhātuḥ,	(15) the body-consciousness element,
(16) mano-dhātuḥ,	(16) the mind element,
(17) dharma-dhātuḥ,	(17) the thoughts element,
(18) mano-vijñāna-dhātuḥ |	(18) the mind-consciousness element.
ime bhikṣava ucyante ’ṣṭādaśa dhātavaḥ |	These, monastics, are said to be the eighteen elements.
tatra bhikṣavaḥ katamāni dvā-daśāyatanāni?	Herein, monastics, what are the twelve sense-spheres?
(1) cakṣur-ādhyātmikam-āyatanam,	(1) The internal eye sense-sphere,
(2) rūpaṃ bāhyam-āyatanam,	(2) the external visible-form sense-sphere,
(3) śrotram-ādhyātmikam-āyatanam,	(3) the internal ear sense-sphere,
(4) śabdo bāhyam-āyatanam,	(4) the external sound sense-sphere,
(5) ghrāṇām-ādhyātmikam-āyatanam,	(5) the internal nose sense-sphere,
(6) gandho bāhyam-āyatanam,	(6) the external smell sense-sphere,
(7) jihvā ādhyātmikam-āyatanam,	(7) the internal tongue sense-sphere,
(8) raso bāhyam-āyatanam,	(8) the external taste sense-sphere,
(9) kāya ādhyātmikam-āyatanam,	(9) the internal body sense-sphere,
(10) sparśo bāhyam-āyatanam,	(10) the external tangible sense-sphere,
(11) mana ādhyātmikam-āyatanam,	(11) the internal mind sense-sphere,
(12) dharmo bāhyam-āyatanam |	(12) the external thought sense-sphere.
imāni bhikṣava ucyante dvā-daśāyatanāni |	These, monastics, are said to be the twelve sense-spheres.
tatra bhikṣavaḥ katamo dvā-daśāṅgaḥ pratītya-samutpādaḥ?	Herein, monastics, what are the twelve factors of conditional origination?
yad-uta:	It is as follows:
yad-uta:	They are (also) as follows:
(1) avidyā-pratyayāḥ saṃskārāḥ,	(1) With ignorance as condition: volitions,
(2) saṃskāra-pratyayaṃ vijñānaṃ,	(2) with volitions as condition: consciousness,
(3) vijñāna-pratyayaṃ nāma-rūpaṃ,	(3) with consciousness as condition: mind and body,
(4) nāma-rūpa-pratyayaṃ ṣaḍ-āyatanaṃ,	(4) with mind and body as condition: the six sense-spheres,
