input_text	target_text
nanaggacariyā najaṭānapaṃko nānāśanaṃtthaṇḍīlaśāyikā vā|	Neither going naked, nor matted hair, nor mud, nor fasting or lying on stony ground,
rajocelaṃ ukkuṭukapradhānaṃ śodhenti māccaṃ avitiṇṇakaṃchaṃ ||	dusty clothes, or striving while squatting, can purify a mortal who has not removed uncertainty.
alaṃkato cāpi samaṃ careyā dānto śānto niyato dhammacārī |	Even if he were to adorn himself, but is trained, peaceful, settled, living by Dhamma,
sabbesu prāṇesu nidhāya daṇḍaṃ so brāhmaṇo so śamaṇo sa bhikkhū ||	and has put aside the stick towards all living beings, he is a brahmin, an ascetic, a monastic.
mā vade paruṣaṃ kaṃci vuttā paṭivadeyu taṃ |	Do not speak anything harsh, spoken to they might answer back to you,
dukkhā hi sārambhakathā paṭidaṇḍā phuseyu taṃ ||	for arrogant talk entails misery, and they might strike you back with a stick.
sace iresi āttānaṃ kaṃso upahato-r-iva |	If you make a sound like a gong that is struck,
jātimaraṇasaṃsāraṃ ciraṃ praccanubhohisi ||	you will undergo the rounds of births and deaths for a long time.
na ce iresi āttānaṃ kaṃso anupahato-r-iva |	If you make no sound like a gong that is not struck,
esa prātto si nibbāṇaṃ sārambhā te na vijjati ||	you are like one who has attained Nibbāna, contention is not found in you.
yathā daṇḍena gopālo gāvo pājeti gocaraṃ |	Like a cowherd with a stick drives cattle to pasture,
evaṃ jarā ca maccū ca prāṇināṃ adhivattati ||	so do old age and death overpower living beings.
yathā daṇḍena gopālo gāvo rakṣati sāmināṃ |	Like a cowherd with a stick protects the owner’s cattle,
evaṃ rakkhatha āttānaṃ khaṇo vo mā upaccagū |	so one should watch over oneself, and you should not let the moment pass,
khaṇātītā hi śocanti nirayamhi samappitā ||	for when the chance has passed they grieve when consigned to the underworld.
sabbe trasanti daṇḍānāṃ sabbesaṃ jīvitaṃ priyaṃ |	Everyone trembles at sticks, for all of them life is dear,
āttānaṃ upamaṃ kattā neva haṃyyā na ghātaye ||	comparing oneself with others, one should not hurt or have them hurt.
sukhakāmāni bhūtāni yo daṇḍena vihiṃsati |	One who harms with a stick beings who desire happiness,
āttano sukham eṣāṇo precca so na labhate sukhaṃ ||	while seeking happiness for himself, won’t find happiness after death.
sukhakāmāni bhūtāni yo daṇḍena na vihiṃsati |	One who harms not with a stick beings who desire happiness,
āttano sukham eṣāṇo precca so labhate sukhaṃ ||	while seeking happiness for himself, will find happiness after death.
na bhajetha pāpake mitre na bhajetha puruṣā ’dhame |	One should not keep company with wicked friends, one should not keep company with the ignoble,
bhajetha praṃñe medhāvī bhajetha puruṣottame |	you should keep company with the sage and wise, you should keep company with superior people.
tārise bhajamānassa śreyo hoti na pāpiyo ||	keeping company with such is surely better for you, not worse.
nidhino va pravattāraṃ yaṃ paśśe vajjadaṃśinaṃ |	One should regard someone who shows your faults just like one who points out hidden treasure,
nigṛhyavādiṃ medhāvīṃ tārisaṃ puruṣaṃ bhaje |	one should keep company with such a sagacious person who reproves you;
ovadeyā anuśāseyā asabbhāto nivāraye |	One should advise and instruct, and forbid whatever is vile,
satāṃ hetaṃ priyaṃ hoti asatāṃ hoti apriyaṃ ||	for this is dear to the good, but it is not dear to the bad.
tassā satāñ ca asatāñ ca nānā hoti ito gatī |	Therefore the good and the bad from here go to various destinies,
asanto nirayaṃ yānti santo saggaparāyaṇā ||	the bad go to the underworld, the good cross over to heaven.
appaśśuto ayaṃ puruṣo balivaddo va jīrati |	The person of little learning increases in age like an ox,
