iṣe tvorje tvā vāyava sthopāyava stha devo vaḥ savitā prārpayatu śreṣṭhatamāya karmaṇe |	For food thee, for strength thee! Ye are winds, ye are approachers. Let the god Savitr impel you to the most excellent offering.
ā pyāyadhvam aghniyā devabhāgam ūrjasvatīḥ payasvatīḥ prajāvatīr anamīvā ayakṣamās |	O invincible ones, swell with the share for the gods, Full of strength, of milk, rich in offspring, free from sickness, from disease.
mā va stena īśata māghaśaṃsas |	Let no thief, no evil worker, have control over you.
rudrasya hetiḥ pari vo vṛṇaktu dhruvā asmin gopatau syāta bahvīs |	Let Rudra's dart avoid you. Abide ye, numerous, with this lord of cattle.
yajamānasya paśūn pāhi |	Do thou protect the cattle of the sacrificer.
yajñasya ghoṣad asi pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ preyam agād dhiṣaṇā barhir acha manunā kṛtā svadhayā vitaṣṭā |	Thou art the substance of the sacriflee. The Raksas is burned up, the evil spirits are burned up. The Vedi hath come to the sacrificial straw, Made by Manu, fashioned with the Svadha call.
ta ā vahanti kavayaḥ purastād devebhyo juṣṭam iha barhir āsade |	The sages fetch it from in front, The delightful straw for the gods to sit on here.
devānām pariṣūtam asi varṣavṛddham asi devabarhir mā tvānvaṅ mā tiryak parva te rādhyāsam ā chettā te mā riṣam |	Thou art impelled by the gods. Thou art made to grow by the rains. O divine straw, lot me not hit thee either across or along, Let me hit thy joints, Let me come to no harm in cutting thee.
devabarhiḥ śatavalśaṃ vi roha sahasravalśāḥ |	O divine straw, rise with a hundred shoots, Let us rise with a thousand shoots.
vi vayaṃ ruhema pṛthivyāḥ sampṛcaḥ pāhi susambhṛtā tvā sam bharāmi adityai rāsnāsīndrāṇyai saṃnahanam pūṣā te granthiṃ grathnātu sa te māsthāt |	Guard from the contact of earth. I gather thee with good gathering. Thou art the girdle of Aditi, the cord of Indrani. Let Pusan tie a knot for thee, that knot shall mount me.
indrasya tvā bāhubhyām ud yache bṛhaspater mūrdhnā harāmi urv antarikṣam anv ihi devaṃgamam asi |	I hold thee up with the arms of Indra, I seize thee with the head of Brhaspati. Fare along the wide atmosphere. Thou art going to the gods.
śundhadhvaṃ daivyāya karmaṇe devayajyāyai mātariśvano gharmo 'si dyaur asi pṛthivy asi viśvadhāyā asi parameṇa dhāmnā dṛṃhasva mā hvās |	Be ye pure for the divine rite, the sacrifice to the gods. Thou art the cauldron of Matariçvan. Thou art the heaven, thou art the earth. Thou art the all-supporting with the highest support. Be firm, waver not.
