yaḥ soma sakhye tava raraṇat deva martyaḥ tam dakṣaḥ sacate kavi ḥ	O Soma, God, the mortal man who in thy friendship hath delight, Him doth the mighty Sage befriend.
uruṣya ṇaḥ abhi śasteḥ soma ni pāhi aṁhasaḥ sakhā su śevaḥ edhi naḥ	Save us from slanderous reproach, keep us., O Soma, from distress: Be unto us a gracious Friend.
ā pyāyasva sam etu te viśvataḥ soma vr̥ṣṇyam bhava vājasya sam gathe	Soma, wax great. From every side may vigorous powers unite in thee: Be in the gathering-place of strength.
ā pyāyāasva madin tama soma viśvebhiḥ aṁśu bhiḥ bhava naḥ suśravaḥ tamaḥ sakhā vr̥dhe	Wax, O most gladdening Soma, great through all thy rays of light, and be A Friend of most illustrious fame t6 prosper us.
sam te payāṁsi sam oṁ iti yantu vājāḥ sam vr̥ṣṇyāni abhimāti sahaḥ āpyāyamānaḥ amr̥tāya soma divi śravāṁsi ut tamāni dhiṣva	In thee be juicy nutriments united, and powers and mighty foe-subduing vigour, Waxing to immortality, O Soma: win highest glories for thyself in heaven.
yā te dhāmāni haviṣā yajanti tā te viśvā pari bhūḥ astu yajñam gaya sphānaḥ pra taraṇaḥ su vīraḥ avīra hā pra cara soma duryān	Such of thy glories as with poured oblations men honour, may they all invest our worship. Wealth-giver, furtherer with troops of heroes, sparing the brave, come, Soma, to our houses.
somaḥ dhenum somaḥ arvantam āśum somaḥ vīram karmaṇyam dadāti sadanyam vidathyam sabheyam pitr̥ śravaṇam yaḥ dadāśat asmai	To him who worships Soma gives the milchcow, a fleet steed and a man of active knowledge, Skilled in home duties, meet for holy synod, for council meet, a glory to his father.
aṣāhvam yut su pr̥tanāsu paprim svaḥ sām apsām vr̥janasya gopām bhareṣu jām su kṣitim su śravasam jayantam tvām anu madema soma	Invincible in fight, saver in battles, guard of our camp, winner of light and water, Born amid hymns, well-housed, exceeding famous, victor, in thee will we rejoice, O Soma.
tvam imāḥ oṣadhīḥ soma viśvāḥ tvam apaḥ ajanayaḥ tvam gāḥ tvam ā tatantha uru antarikṣam tvam jyotiṣā vi tamaḥ vavartha	These herbs, these milch-kine, and these running waters, all these, O Soma, thou hast generated. The spacious firmament bast thou expanded, and with the light thou hast dispelled the darkness.
devena naḥ manasā deva soma rāyaḥ bhāgam sahasāvan abhi yudhya mā tvā tanat īśiṣe vīryasya ubhayebhyaḥ pra cikitsa go iṣṭau	Do thou, God Soma, with thy Godlike spirit, victorious, win for us a share of riches. Let none prevent thee: thou art Lord of valour. Provide for both sides in the fray for booty.
etāḥ oṁ iti tyāḥ uṣasaḥ ketum akrata pūrve ardhe rajasaḥ bhānum añjate niḥ kr̥ṇvānāḥ āyudhāni iva dhr̥ṣṇavaḥ prati gāvaḥ aruṣīḥ yanti mātaraḥ	THESE Dawns have raised their banner; in the eastern half of the mid-air they spread abroad their shinine light. Like heroes who prepare their weapons for the war, onward they come bright red in hue, the Mother Cows.
ut apaptan aruṇāḥ bhānavaḥ vr̥thā su āyujaḥ aruṣīḥ gāḥ ayukṣata akran uṣasaḥ vayunāni pūrvathā ruśantam bhānum aruṣīḥ aśiśrayuḥ	Readily have the purple beams of light shot up; the Red Cows have they harnessed, easy to be yoked. The Dawns have brought distinct perception as before: red-hued, they have attained their fulgent brilliancy.
arcanti nārīḥ apasaḥ na viṣṭi bhiḥ samānena yojanena ā parāvataḥ iṣam vahantīḥ su kr̥te su dānave viśvā it aha yajamānāya sunvate	They sing their song like women active in their tasks, along their common path hither from far away, Bringing refreshment to the liberal devotee, yea, all things to the worshipper who pours the juice.
adhi peśāṁsi vapate nr̥tūḥ iva apa ūrṇute vakṣaḥ usrāiva barjaham jyotiḥ viśvasmai bhuvanāya kr̥ṇvatī gāvaḥ na vrajam vi uṣāḥ āvar ity āvaḥ tamaḥ	She, like a dancer, puts her broidered garments on: as a cow yields her udder so she bares her breast. Creating light for all the world of life, the Dawn hath laid the darkness open as the cows their stall.
prati arciḥ ruśat asyāḥ adarśi vi tiṣṭhate bādhate kr̥ṣṇam abhvam svarum na peśaḥ vidatheṣu añjan citram divaḥ duhitā bhānum aśret	We have beheld the brightness of her shining; it spreads and drives away the darkiorne monster. Like tints that deck the Post at sacrifices, Heaven's Daughter hath attained her wondrous splendour.
atāriṣma tamasaḥ pāram asya uṣāḥ ucchantī vayunā kr̥ṇoti śriye chandaḥ na smayate vi bhātī su pratīkā saumanasāya ajīgariti	We have o'erpast the limit of this darkness; Dawn breaking forth again brings clear perception. She like a flatterer smiles in light for glory, and fair of face hath wakened to rejoice us.
bhāsvatī netrī sūnr̥tānām divaḥ stave duhitā gotamebhiḥ prajāvataḥ nr̥ vataḥ aśva budhyān uṣaḥ go agrān upa māsi vājān	The Gotamas have praised Heaven's radiant Daughter, the leader of the charm of pleasant voices. Dawn, thou conferrest on us strength with offspring and men, conspicuous with kine and horses.
