.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
śrīmanti sadguṇaparigrahamaṅgalāni kīrtyāspadānyanavagītamanoharāṇi / pūrvaprajanmasu muneścaritādbhutāni	Grand and glorious, of inexhaustible praise and charm, comprising excellent virtues and thereby auspicious, are the wonderful exploits which the Muni performed in previous births.
bhaktyā svakāvyakusumāñjalinārcayiṣye //	Them will devoutly worship with the handful of flowers of my poem.
ślāghyairamībhirabhilakṣitacihnabhūtai- rādeśito bhavati yatsugatatvamārgaḥ /	By those praiseworthy deeds the way is taught that is leading to Buddhahood; they are the landmarks on that way.
syādeva rūkṣamanasāmapi ca prasādo	Further even the hard-hearted may be softened by them.
dharmyāḥ kathāśca ramaṇīyataratvamīyuḥ // lokārthamityabhisamīkṣya kariṣyate 'yaṃ śrutyārṣayuktyaviguṇena pathā prayatnaḥ / lokottamasya caritātiśayapradeśaiḥ svaṃ prātibhaṃ gamayituṃ śrutivallabhatvam //	The holy stories may also obtain a greater attractiveness. So considered, and for the benefit of men the attempt will be made to find a favourable audience for my own genius, by treating of the extraordinary facts of the Highest One in the world in a manner which is in accordance with the course of facts as recorded by Scripture and Tradition.
svārthodyatairapi parārthacarasya yasya naivānvagamyata guṇapratipattiśobhā / sarvajña ityavitathākṣaradīptakīrti mūrdhnā name tamasamaṃ sahadharmasaṃgham //	Him, whose beautiful practice of virtues, while acting for the sake of others, no one could imitate, though bent on self-interest; Him, the blaze of whose glory is involved in his true name of the All-Knowing One; Him, the Incomparable One together with the Law and the Congregation venerate with bowed head.
1 vyāghrījātakam /	The cipher on the left denotes the number of the stanza.
sarvasttveṣvakāraṇaparamavatsalasvabhāvaḥ sarvabhūtātmabhūtaḥ pūrvajanmasvapi sa bhagavāniti buddhe bhagavati paraḥ prasādaḥ kāryaḥ //	The prose parts of the original are indicated by the absence of the cipher. [In the electronic edition the verses are also indented to clarify the presentation.]. For this reason we ought to have the utmost faith in Buddha, the Lord.
tadyathānuśrūyate ratnatrayagurubhiḥ pratipattiguṇābhirādhitagurubhirguṇapravicayagurubhirasmadgurubhiḥ parikīrtyamānamidaṃ bhagavataḥ pūrvajanmāvadānam-	This will be instanced by the following great performance of the Lord in a previous birth, which has been celebrated by my guru, a venerator of the Three Jewels, an authority because of his thorough study of virtues, and beloved by his own guru by virtue of his religious practices.
bodhisattvaḥ kilāyaṃ bhagavān bhūtaḥ pratijñātiśayasadṛśairdānapriyavacanārthacaryāprabhṛtibhiḥ prajñāparigrahaniravadyaiḥ kāruṇyaniṣyandairlokamanugṛhṇan svadharmābhiratyupanataśucivṛttinyuditodite mahati brāhmaṇakule janmaparigrahaṃ cakāra /	In the time that the Bodhisattva, who afterwards became our Lord, benefited the world by manifold outpourings of his compassion: gifts, kind words, succour, and similar blameless deeds of a wisdom-culti vating mind, quite in accordance with the excessive engagements to which he had bound himself, he took his birth in a most eminent and mighty family of Brāhmans, distinguished by the purity of their conduct owing to their attachment to their (religious) duties.
sa kṛtasaṃskārakramo jātakarmādibhirabhivardhamānaḥ prakṛtimedhāvitvātsānāthyaviśeṣājjñānakautūhalādakausīdyācca nacireṇaivāṣṭādaśasu vidyāsthāneṣu svakulakramāviruddhāsu ca sakalāsu kalākhācāryakaṃ padamavāpa /	Being purified by the jātakarma and the other sacraments in due order, he grew up and in a short time, owing to the innate quickness of his understanding, the excellent aid in his studies, his eagerness for learning and his zeal, he obtained the mastership in the eighteen branches of science and in all the arts (kalās) which were not incompatible with the custom of his family.
