Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
pudgaladharmanairātmyayor apratipannavipratipannānām aviparītapudgaladharmanairātmyapratipādanārthaṃ triṃśikāvijñaptiprakaraṇārambhaḥ /	The treatise Trimśikāvijnapti is composed to teach the truthful doctrine that both the person and the elements of existence have no underlying permanent being) to those who hold contrary or dissenting opinions about it.
pudgaladharmanairātmyapratipādanaṃ punaḥ kleśajñeyāvaraṇaprahāṇārtham /	The instruction on the two points mentioned serves to ensure that both the obstacles caused by the hereditary evils) and the obstacles) existing with regard to the objects of knowledge are given up.
tathā hy ātmadṛṣṭiprabhavā rāgādayaḥ kleśāḥ pudgalanairātmyāvabodhaś ca satkāyadṛṣṭeḥ pratipakṣatvāt tatprahāṇāya pravartamānaḥ sarvakleśān prajahāti /	Namely, from the belief in a soul arise the hereditary evils, love, etc. Now that the knowledge of the pudgalanairātmya) as an opponent of the belief in the Self expresses its effect in the abandonment of that erroneous belief, it abolishes all hereditary evils.
dharmanairātmyajñānād api jñeyāvaraṇapratipakṣatvāt jñeyāvaraṇaṃ prahīyate /	The realization of the dharmanairātmya as the counterpart of the jneyāvarana) annuls the latter.
kleśajñeyāvaraṇaprahāṇam api mokṣasarvajñatvādhigamārtham / kleśā hi mokṣaprāpter āvaraṇam iti atas teṣu prahīṇeṣu mokṣo 'dhigamyate / jñeyāvaraṇam api sarvasmin jñeye jñānapravṛttipratibandhabhūtam akliṣṭam ajñānam /	The abolition of these two ävaraņas serves to attain salvation and omniscience. Since the inherited evils are the obstacle to attaining salvation, the latter is attained) after the abolition of the former.The jneyāvaraṇa is the ignorance unaccompanied by hereditary resentment, which prevents the exercise of knowledge with regard to all objects of cognition.
tasmin prahīṇe sarvākāre jñeye 'saktam apratihatañ ca jñānaṃ pravartata ity ataḥ sarvajñatvam adhigamyate /	For when the jneyāvarana is gone, knowledge engages in objects of knowledge of any kind without being attached to them or finding resistance, and thereby one attains omniscience.
atha vā dharmapudgalābhiniviṣṭāś cittamātraṃ yathābhūtaṃ na jānantīty ato dharmapudgalanairātmyapradarśanena saphale vijñaptimātre 'nupūrveṇa praveśārthaṃ prakaraṇārambhaḥ /	I Or : because those who are still dominated by the idea of permanence of the person and the elements of existence do not recognize that in truth there is only consciousness, this treatise has been composed in order to guide them methodically to the understanding that all contents of consciousness are pure representations ie pretenses of consciousness by showing them that neither the person nor the elements of existence have permanent being.
atha vā vijñānavad vijñeyam api dravyata eveti kecin manyante / vijñeyavad vijñānam api saṃvṛtita eva na paramārthata ity asya dviprakārasyāpy ekāntavādasya pratiṣedhārthaḥ prakaraṇārambhaḥ //	Or: Some think that the objects of knowledge, like knowledge (or consciousness), are real, others that, like the objects of knowledge, consciousness too has only empirical but no absolute reality. This paper is written to refute both of these principled positions.
ātmadharmopacāro hi vividho yaḥ pravartate / 1ab lokaśāstrayor iti vākyaśeṣaḥ /	Wrong conception or naming 10) of the self and elements of existence are expressed in many different ways; complete: in common life and in science.
vijñānapariṇāme 'sau / 1c	This is aimed at the modification of consciousness.
ātmadharmopacāra iti saṃbadhyate / ātmā dharmāś copacaryanta ity ātmadharmopacāraḥ / sa punar ātmaprajñaptir dharmaprajñaptiś ca /	'These' refers to the misconception or naming of self and elements of existence. The self and the elements of existence are wrongly conceived or named. This is the wrong conception or naming of self and elements of existence.
ātmā jīvo jantur manujo māṇava ity evamādika ātmopacāraḥ skandhā dhātava āyatanāni rūpaṃ vedanā saṃjñā saṃskārā vijñānam ity evamādiko dharmopacāraḥ ayaṃ dviprakāro 'py upacāro vijñānapariṇāma eva na mukhye ātmani dharmeṣu ceti /	This is the misconception of a self and the naming as elements of existence. The misconception of self gives the idea of soul, individual, creature, man, etc. The wrong naming of elements of existence gives the groups, the constituents of personality, the Foundations of cognition, etc.Both misconception and naming are based only on modification of consciousness, but not on self and elements of existence as that primary.
kuta etat /	Why this?
dharmāṇām ātmanaś ca vijñānapariṇāmād bahir abhāvāt /	Because elements of existence and souls outside of the modification of consciousness do not last.
ko 'yaṃ pariṇāmo nāma /	What is such a modification?
anyathātvam /	A difference.
kāraṇakṣaṇanirodhasamakālaḥ kāraṇakṣaṇavilakṣaṇaḥ kāryasyātmalābhaḥ pariṇāmaḥ /	Modification is the coming-to-appearance of the effect, which is the one that occurs simultaneously with the disappearance of the cause-moment and is essentially different from it.
tatrātmādivikalpavāsanāparipoṣād rūpādivikalpavāsanāparipoṣāc cālayavijñānād ātmādinirbhāso vikalpo rūpādinirbhāsaś cotpadyate /	When the latent impressions of the imaginary ideas of soul etc. or matter etc. reach full maturity, then the imaginary idea arises from the primal consciousness.
[Tvbh_42] tam ātmādinirbhāsaṃ rūpādinirbhāsañ ca tasmād vikalpād bahirbhūtam ivopādāyātmādyupacāro rūpādidharmopacāraś cānādikālikaḥ pravartate vināpi bāhyenātmanā dharmaiś ca / tad yathā taimirikasya keśoṇḍukādyupacāra iti / yac ca yatra nāsti tat tatropacaryate / tad yathā bāhīke gauḥ / evaṃ vijñānasvarūpe bahiś cātmadharmābhāvāt parikalpita evātmā dharmāś ca na tu paramārthataḥ santīti vijñānavad vijñeyam api dravyata evety ayam ekāntavādo nābhyupeyaḥ /	, which simulates a soul, etc. , or substance, etc. Based on this pretense of soul etc. or matter etc. as something existing outside the relevant conception, the conception of soul etc. and designation as matter etc. has been in vogue since the beginning of time, without there being a self and elements of existence outside give, just as an eye patient has the phantom of hair, net, etc.Something is grasped or This lists the skandhas, the 'etc.' indicates that the dhātus and ayatanas should also be specialized. mukhya, which seems to us erroneously as given. Taking A for B gives the idea of B, which is here called mukhya primary; A is called gauņa secondary, see ff. named as something else if this is not identical to that; thus one says: the Punjabi is an ox, without that ox is identical with Punjabi. Now, because neither self nor elements of existence exist in consciousness as such and outside of it, they are conceptually constructed according to the principle set forth, but in rerum natura they are not; therefore the point of view that the objects of cognition are realiter just like consciousness is not to be approved. But since misapprehension or naming is not possible without an appropriate substratum, one must necessarily recognize the modification of consciousness as something real with which self and elements of being tend to be erroneously identified.And that is why the assertion that, like the objects of cognition, so also consciousness itself only exists on the basis of empirical appearance but not in reality, is not capable of any rational justification;
saṃvṛtito 'py abhāvaprasaṅgān na hi saṃvṛtir nirupādānā yujyate /	for it would logically follow that there is no 'on the basis of the empirical appearance' at all, for an empirical appearance without a positive basis is logically unthinkable.
tasmād ayam ekāntavādo dviprakāro 'pi niryuktikatvāt tyājya ity ācāryavacanam /	For this reason, both of the fundamental standpoints mentioned are to be rejected as devoid of any justification; so says the master.
evañ ca sarvaṃ vijñeyaṃ parikalpitasvabhāvatvād vastuto na vidyate vijñānaṃ punaḥ pratītyasamutpannatvād dravyato 'stīty abhyupeyam /	Hence one must assume that every content of consciousness as a purely conceptual entity has no real being; but consciousness possesses such a thing because it arose on the basis of certain conditions;
pratītyasamutpannatvaṃ punar vijñānasya pariṇāmaśabdena jñāpitam /	but the latter property of consciousness is designated by the word modification.
katham etad gamyate vinā bāhyenārthena vijñānam evārthākāram utpadyata iti /	How is it to be understood that a consciousness arises in the form of an object, without such being outside of svarūpa.
bāhyo hy arthaḥ svābhāsavijñānajanakatvena vijñānasyālambanapratyaya iṣyate na kāraṇatvamātreṇa samanantarādipratyayād viśeṣāprasaṅgāt /	The external object is valid, insofar as it causes the appearance of itself in consciousness, as an objective condition of consciousness and not simply as a cause, because otherwise it would not be necessary to consider the other conditions such as samanantara- to distinguish pratyaya.
sañcitālambanāś ca pañcavijñānakāyās tadākāratvāt /	The classes of sense perceptions have accumulated as object because they appear to us in this form.
na ca sañcitam avayavasaṃhatimātrād anyad vidyate / tadavayavān apohya sañcitākāravijñānābhāvāt /	Now accumulation is nothing but the accumulation of the parts; for when one subtracts the components, one has no consciousness in the form of "the accumulated".
