bhāmatī — catuḥsūtrībrahmasūlaśāṃkarabhāṣyamyuṣmadasmatpratyayagocarayorviṣayaviṣa -yiṇostamaḥ prakāśavadviruddhasvabhāvayoritaretara-bhāvānupapattau siddhāyām taddharmāṇāmapisutarāmitaretarabhāvānupapattiḥ - ityataḥ asmatpratyayagocare viṣayiṇi cidātmake yuṣma-tpratyayagocarasya viṣayasya taddharmāṇāṃ cādhyā-saḥ, tadviparyayeṇa viṣayiṇastaddharmāṇāṃ ca viṣaye'dhyāso mithyeti bhavituṃ yuktam |	OF the spheres of the two concepts of Thou and I, the object and the subject, with their natures opposed to each other like darkness and light, when it is established that one cannot intelligibly be of the nature of the other, the more is it unintelligible for their attributes too to be one in the substrate of the other on this account, the superimposition of the object, the sphere of the concept of Thou, and of its attributes, on the subject, the intelligent self, the sphere of the concept of I, and conversely through an error in respect of that, the superimposition of the subject and its attributes on the object, can properly be only an illusion.
tathā-pyanyo'nyasminnanyo'nyātmakatā manyo'nyadhamāṃśca adhyasya itaretarāvivekena atyanta-viviktayordharmadharmiṇoḥ, mithyājñānanimittaḥ,satyānṛte mithunīkṛtya, 'ahamidam, mame-dam' iti naisargiko'yaṃ lokavyavahāraḥ |anirvācyāvidyādvitayasacivasya prabhavatovivartā yasyaite viyadanilatejo'bavanayaḥ |yataścābhūdviśvaṃ caramacaramuccāvacamidaṃnamāmastadbrahmāparimitasukhajñānamamṛtam ||	Yet, after superimposing on each the nature and the attributes of the other through nondiscrimina tion of each from the other in the case of attributes absolutely distinct among themselves as also of substrates similarly distinct, there is this natural empirical usage like, I am this, and this is mine, coupling the true with the untrue, with its cause in illusory cognition. We render obeisance to that immortal Brahman, the immeasurable bliss and knowledge, from whom as Lord with the two kinds of indeterminable Nescience as ministers, there are the illusory manifestations of ether, air, fire, water and the earthand from whom came forth this universe, movable and immovable, high and low.
niḥśvasitamasya vedā vīkṣitametasya pañca bhūtāni |smitametasya carācaramasya ca suptaṃ mahāpralayaḥ ||	The Vedas are His breath, His glance the five elements, the universe movable and immovable is His smile, His sleep is the final deluge.
ṣaḍbhiraṅgairupetāya vividhairavyayairapi |śāśvatāya namaskurmo vedāya ca bhavāya ca ||	To the Vedas and to Bhava, which are eternal and associated with six angas as also with manifold im perishable properties or indeclinables we render obeisance. .
mārtaṇḍatilakasvāmimahāgaṇapatīn vayam |viśvavandyānnamasyāmaḥ sarvasiddhividhāyinaḥ ||	We render obeisance to Martanda, to Tilaka svamin, and to Mahaganapati, who are worthy of universal adoration and are the dispensers of all fulfilment.
brahmasūtrakṛte tasmai vyāsāyāparavedhase |jñānaśaktyavatārāya namo bhagavato hareḥ ||	Obeisance to Vyasa, the secondary Creator, the author of the Brahmasütras, the incarnation of the cognitive energy of the Lord Hari.
natvā viśuddhavijñānaṃ śaṅkaraṃ karuṇānidhim |bhāṣyaṃ prasannagambhīraṃ tatpraṇītaṃ vibhajyate ||	Having rendered obeisance to Sankara, of wisdom pure, of grace the ocean, we proceed to analyse the clear yet deep commentary written by him.
ācāryakṛtiniveśanamapyavadhūtaṃ vaco'smadādīnām |rathyodakamiva gaṅgāpravāhapātaḥ pavitrayati || adhyāsa:atha yadasaṃdigdhamaprayojanaṃ ca na tatprekṣāva-tpratipitsāgocaraḥ, yathā samanaskendriyasaṃnikṛṣṭaḥsphītālokamadhyavartī ghaṭaḥ, karaṭadantā vā;	As the waters of a highway are purified by falling into the current of the Ganges, even so are the lowly words of those like us, by their conjunction with the work of the Master. Now, that of which there is no doubt or that which is profitless cannot be the sphere of a desire to know on the part of a prudent inquirer, as, for instance, a pot present in bright light and coming into contact with the sense of sight along with the mind or the teeth of a crow.
tathācedaṃ brahmeti vyāpakaviruddhopalabdhiḥ |	So too, is this Brahman hence the knowledge of what is opposed to the presence of the pervader of the inquiry, i.e., doubt and profit.
tathā hi-bṛhattvādabṛṃhaṇatvādvātmaiva brahmeti gīyate |	It is thus the self alone is called Brahman, because it is great or it causes to grow.
